"FON_FONDSID";"DATUM";"KOERS";"OPEN";"HIGH";"LOW";"OMZET"
"456487";"31-12-1991";"100,00000";"";"";"";"0"
"456487";"2-1-1992";"100,24000";"";"";"";"0"
"456487";"3-1-1992";"99,95000";"";"";"";"0"
"456487";"6-1-1992";"101,48000";"";"";"";"0"
"456487";"7-1-1992";"101,52000";"";"";"";"0"
"456487";"8-1-1992";"100,63000";"";"";"";"0"
"456487";"9-1-1992";"100,91000";"";"";"";"0"
"456487";"10-1-1992";"102,57000";"";"";"";"0"
"456487";"13-1-1992";"102,78000";"";"";"";"0"
"456487";"14-1-1992";"103,45000";"";"";"";"0"
"456487";"15-1-1992";"105,19000";"";"";"";"0"
"456487";"16-1-1992";"105,53000";"";"";"";"0"
"456487";"17-1-1992";"105,08000";"";"";"";"0"
"456487";"20-1-1992";"105,39000";"";"";"";"0"
"456487";"21-1-1992";"105,62000";"";"";"";"0"
"456487";"22-1-1992";"105,05000";"";"";"";"0"
"456487";"23-1-1992";"104,60000";"";"";"";"0"
"456487";"24-1-1992";"104,68000";"";"";"";"0"
"456487";"27-1-1992";"106,15000";"";"";"";"0"
"456487";"28-1-1992";"106,15000";"";"";"";"0"
"456487";"29-1-1992";"105,94000";"";"";"";"0"
"456487";"30-1-1992";"105,86000";"";"";"";"0"
"456487";"31-1-1992";"105,46000";"";"";"";"0"
"456487";"3-2-1992";"106,67000";"";"";"";"0"
"456487";"4-2-1992";"105,66000";"";"";"";"0"
"456487";"5-2-1992";"107,07000";"";"";"";"0"
"456487";"6-2-1992";"106,71000";"";"";"";"0"
"456487";"7-2-1992";"107,47000";"";"";"";"0"
"456487";"10-2-1992";"105,51000";"";"";"";"0"
"456487";"11-2-1992";"105,96000";"";"";"";"0"
"456487";"12-2-1992";"106,00000";"";"";"";"0"
"456487";"13-2-1992";"106,34000";"";"";"";"0"
"456487";"14-2-1992";"106,23000";"";"";"";"0"
"456487";"17-2-1992";"106,05000";"";"";"";"0"
"456487";"18-2-1992";"107,15000";"";"";"";"0"
"456487";"19-2-1992";"106,87000";"";"";"";"0"
"456487";"20-2-1992";"107,77000";"";"";"";"0"
"456487";"21-2-1992";"107,87000";"";"";"";"0"
"456487";"24-2-1992";"108,62000";"";"";"";"0"
"456487";"25-2-1992";"107,87000";"";"";"";"0"
"456487";"26-2-1992";"109,28000";"";"";"";"0"
"456487";"27-2-1992";"109,73000";"";"";"";"0"
"456487";"28-2-1992";"109,19000";"";"";"";"0"
"456487";"2-3-1992";"109,41000";"";"";"";"0"
"456487";"3-3-1992";"109,41000";"";"";"";"0"
"456487";"4-3-1992";"110,01000";"";"";"";"0"
"456487";"5-3-1992";"109,32000";"";"";"";"0"
"456487";"6-3-1992";"109,11000";"";"";"";"0"
"456487";"9-3-1992";"109,15000";"";"";"";"0"
"456487";"10-3-1992";"109,19000";"";"";"";"0"
"456487";"11-3-1992";"108,79000";"";"";"";"0"
"456487";"12-3-1992";"108,13000";"";"";"";"0"
"456487";"13-3-1992";"107,90000";"";"";"";"0"
"456487";"16-3-1992";"107,69000";"";"";"";"0"
"456487";"17-3-1992";"107,76000";"";"";"";"0"
"456487";"18-3-1992";"107,75000";"";"";"";"0"
"456487";"19-3-1992";"107,48000";"";"";"";"0"
"456487";"20-3-1992";"108,22000";"";"";"";"0"
"456487";"23-3-1992";"106,95000";"";"";"";"0"
